Tên chung cư,Đường/Phố,Xã/Phường/Thị Trấn,Quận/Huyện,Diện tích,Mức giá,Số phòng ngủ,Số toilet
 The Harmona, Trương Công Định,14, Tân Bình,113.00,3.2,3.00,2
 Hoàng Anh Thanh Bình,,Tân Hưng, Quận 7,58.00,1.8,2.00,2
 9 View Apartment, Tăng Nhơn Phú,Phước Long B, Quận 9,73.00,2.5,2.00,2
 Hoàng Anh Thanh Bình, D4,Tân Hưng, Quận 7,75.00,2.999,2.00,
 The Harmona, Trương Công Định,14, Tân Bình,85.00,3.5,3.00,2
 Centum Wealth, Phan Chu Trinh,Hiệp Phú, Quận 9,68.00,2.85,2.00,2
Centum Wealth, Phan Chu Trinh,Hiệp Phú, Quận 9,83.00,1.9,2.00,2
 13B Conic Phong Phú,, Phong Phú, Bình Chánh,58.00,2.28,2.00,2
 PiCity High Park, Thạnh Xuân 13,Thạnh Xuân, Quận 12,70.00,2.5,2.00,1
Melody Residences 16 Âu Cơ, Âu Cơ,Tân Sơn Nhì, Tân Phú,65.11,4.8,2.00,2
 Masteri Millennium, Bến Vân Đồn,6, Quận 4,84.00,12,2.00,2
 The River Thủ Thiêm, Nguyễn Cơ Thạch,An Khánh, Quận 2,60.00,2.5,2.00,2
 Thủ Thiêm Sky, Nguyễn Văn Hưởng,Thảo Điền, Quận 2,73.00,2.8,2.00,2
 The Harmona, Trương Công Định,14, Tân Bình,82.00,3.8,2.00,2
 Riverside Residence, Nguyễn Lương Bằng,Tân Phú, Quận 7,56.00,2.399,2.00,2
 Centum Wealth, Phan Chu Trinh,Hiệp Phú, Quận 9,90.00,4.6,2.00,1
 Sài Gòn Airport Plaza,,, Quận Tân Bình,70.00,2.7,2.00,2
Melody Residences 16 Âu Cơ, Âu Cơ,Tân Sơn Nhì, Tân Phú,180.00,9,3.00,2
 Riverside Residence, Nguyễn Lương Bằng,Tân Phú, Quận 7,107.00,5.55,2.00,3
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,180.00,9,3.00,2
 Riverside Residence, Nguyễn Lương Bằng,Tân Phú, Quận 7,107.00,5.55,2.00,3
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,147.00,6.7,3.00,2
 Riverside Residence, Nguyễn Lương Bằng,Tân Phú, Quận 7,140.00,8.5,3.00,2
 Saigon Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,213.00,16.5,4.00,2
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,95.00,5.2,3.00,
Chung cư Nguyễn Ngọc Phương, Nguyễn Ngọc Phương,19, Bình Thạnh,72.00,2.68,2.00,2
 Lavita Garden,3,Trường Thọ, Thủ Đức,64.00,1.72,2.00,2
 Centana Thủ Thiêm, Mai Chí Thọ,An Phú, Quận 2,68.80,2.47,2.00,2
 Lavita Garden,3,Trường Thọ, Thủ Đức,56.00,1.7,2.00,2
 Sài Gòn Gateway, Vành Đai 2,, Quận 9,124.00,8,3.00,2
 The Estella, Xa Lộ Hà Nội,An Phú, Quận 2,65.00,2.5,2.00,2
Carillon 7, Lương Minh Nguyệt,Tân Thới Hòa, Tân Phú,65.00,1.8,2.00,1
 Sài Gòn Gateway,,, Quận 9,59.00,1.8,2.00,2
 The Eastern, Liên Phường,Phú Hữu, Quận 9,56.00,2,2.00,1
 The Useful Apartment, Lạc Long Quân,9, Tân Bình,83.00,3,2.00,
 Him Lam Chợ Lớn, Hậu Giang,, Quận 6,67.00,1.43,2.00,2
 Conic Đông Nam Á, Nguyễn Văn Linh, Bình Hưng, Bình Chánh,68.00,1.85,2.00,1
 The Flemington, Lê Đại Hành,15, Quận 11,60.00,3.05,2.00,2
Central Plaza, Phạm Văn Hai,3, Tân Bình,60.00,3.05,2.00,2
Central Plaza, Phạm Văn Hai,3, Tân Bình,62.00,1.55,2.00,2
 Dream Home Riverside, Nguyễn Văn Linh,7, Quận 8,135.00,7.4,3.00,2
 Saigon Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,60.00,2.8,2.00,2
 Carillon Apartment, Hoàng Hoa Thám,13, Tân Bình,66.00,2,2.00,
 Conic Riverside,,7, Quận 8,90.00,4.48,2.00,2
Satra Eximland,,"1, Phú Nhuận",,105.00,2.27,3.00,2
 Skyway Residence, Nguyễn Văn Linh, Phong Phú, Bình Chánh,70.00,1.63,2.00,2
 Skyway Residence, Nguyễn Văn Linh, Phong Phú, Bình Chánh,78.00,4.05,2.00,2
 Central Premium,,5, Quận 8,36.00,2.7,1.00,2
 Avatar Thủ Đức, Số 1,Trường Thọ, Thủ Đức,51.00,2.954,1.00,1
Central Premium,,5, Quận 8,138.00,8.9,3.00,1
 Saigon Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,97.00,1.9,3.00,2
 The Era Town, Phạm Hữu Lầu,Phú Mỹ, Quận 7,65.00,4.5,2.00,2
 Masteri Millennium, Bến Vân Đồn,6, Quận 4,85.00,3.6,2.00,2
 Hà Đô Nguyễn Văn Công, Nguyễn Văn Công,3, Gò Vấp,50.00,2.7,2.00,2
 Screc Tower, Trường Sa,"12, Quận 3",,49.00,3,1.00,1
 Căn hộ Precia Quận 2, Nguyễn Thị Định,An Phú, Quận 2,86.00,5.2,3.00,1
 New City Thủ Thiêm, Mai Chí Thọ,Bình Khánh, Quận 2,77.00,3,2.00,2
 Moonlight Boulevard, Kinh Dương Vương,An Lạc A, Bình Tân,90.00,4.2,3.00,2
 Carillon Apartment, Hoàng Hoa Thám,13, Tân Bình,77.00,3,2.00,2
 Moonlight Boulevard, Kinh Dương Vương,An Lạc A, Bình Tân,90.00,4.2,3.00,2
 Carillon Apartment, Hoàng Hoa Thám,13, Tân Bình,58.00,3.315,2.00,2
Central Premium,,5, Quận 8,86.00,3.5,2.00,1
 Hà Đô Nguyễn Văn Công, Nguyễn Văn Công,3, Gò Vấp,52.70,1.65,2.00,2
Green Town Bình Tân, Số 1,"Bình Hưng Hòa B, Bình Tân",,49.00,1.6,1.00,1
 Thủ Thiêm Garden, Liên Phường,Phước Long B, Quận 9,45.00,1.06,1.00,1
 Thái An Apartment, Nguyễn Văn Quá,Đông Hưng Thuận, Quận 12,56.00,3.1,2.00,1
 Căn hộ Precia Quận 2, Nguyễn Thị Định,An Phú, Quận 2,56.00,3.1,2.00,1
 Căn hộ Precia Quận 2, Nguyễn Thị Định,An Phú, Quận 2,58.00,2.25,2.00,2
 PiCity High Park, Thạnh Xuân 13,Thạnh Xuân, Quận 12,86.00,1.27,2.00,1
 D-Aqua, Bến Bình Đông,14, Quận 8,220.00,13,3.00,2
 The Flemington, Lê Đại Hành,15, Quận 11,82.00,6.3,2.00,
 Vinhomes Central Park, Điện Biên Phủ,22, Bình Thạnh,78.00,3.3,2.00,2
 Lucky Palace, Phan Văn Khỏe,2, Quận 6,75.00,3.9,2.00,2
 CityLand Park Hills, Phan Văn Trị,10, Gò Vấp,67.00,3,2.00,2
 Lavita Charm,1,Trường Thọ, Thủ Đức,68.00,4,2.00,2
 Lavita Charm,1,Trường Thọ, Thủ Đức,54.00,2.3,1.00,1
The Sun Avenue, Mai Chí Thọ,An Phú, Quận 2,75.00,3.9,2.00,1
 CityLand Park Hills, Phan Văn Trị,10, Gò Vấp,67.00,3,2.00,2
 Lavita Charm,1,Trường Thọ, Thủ Đức,68.00,4,2.00,2
 Lavita Charm,1,Trường Thọ, Thủ Đức,54.00,2.3,1.00,1
The Sun Avenue, Mai Chí Thọ,An Phú, Quận 2,78.00,2.7,2.00,1
Oriental Plaza, Âu Cơ,Tân Thành, Tân Phú,80.00,4.8,2.00,2
 Kingston Residence, Nguyễn Văn Trỗi,8, Phú Nhuận,87.00,4.6,3.00,2
 The Flemington, Lê Đại Hành,15, Quận 11,65.00,3.65,2.00,2
 Rivera Park Sài Gòn, Thành Thái,14, Quận 10,90.00,5.5,2.00,1
 Saigon Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,74.00,3.8,2.00,2
 Sky Center, Phổ Quang,2, Tân Bình,40.00,1.8,2.00,2
Eco Green Sài Gòn, Nguyễn Văn Linh,Tân Thuận Tây, Quận 7,89.00,6,3.00,2
 Xi Grand Court,,14, Quận 10,84.00,3.2,2.00,
 Masteri Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,115.00,8.6,2.00,2
The Antonia, Nguyễn Lương Bằng,Tân Phú, Quận 7,61.00,1.78,2.00,2
 Tô Ký Tower, Tô Ký,Trung Mỹ Tây, Quận 12,54.00,1.7,2.00,2
 Tô Ký Tower, Tô Ký,Trung Mỹ Tây, Quận 12,75.00,2.3,3.00,1
 Tô Ký Tower, Tô Ký,Trung Mỹ Tây, Quận 12,54.00,1.7,2.00,2
 Tô Ký Tower, Tô Ký,Trung Mỹ Tây, Quận 12,75.00,2.3,3.00,1
 Tô Ký Tower, Tô Ký,Trung Mỹ Tây, Quận 12,110.00,12,3.00,2
 The Peak,,Tân Phú, Quận 7,89.02,6.5,2.00,2
 The Antonia, Nguyễn Lương Bằng,Tân Phú, Quận 7,50.00,2.6,2.00,2
 Screc Tower, Trường Sa,12, Quận 3,77.00,1.58,2.00,1
 Florita Đức Khải,,Tân Hưng, Quận 7,72.00,2.8,2.00,2
 Carillon 5, Lũy Bán Bích,Hòa Thạnh, Tân Phú,90.00,4.9,2.00,2
 Saigon Pearl, Nguyễn Hữu Cảnh,"22, Bình Thạnh",,50.00,1.36,1.00,2
 The Era Town, 15B,Phú Mỹ, Quận 7,76.00,5.6,2.00,1
 Topaz Elite, Cao Lỗ,4, Quận 8,74.00,4,2.00,2
 Rivera Park Sài Gòn, Thành Thái,14, Quận 10,117.00,6.2,3.00,2
 The Gold View, Bến Vân Đồn,1, Quận 4,117.00,6.8,3.00,2
 The Gold View, Bến Vân Đồn,1, Quận 4,133.00,7.8,3.00,2
 The Gold View, Bến Vân Đồn,1, Quận 4,78.00,6.5,2.00,2
 Kingdom 101, Tô Hiến Thành,14, Quận 10,54.00,1.35,2.00,2
 Thủ Thiêm Green House, Võ Chí Công,Thạnh Mỹ Lợi, Quận 2,87.00,4.7,3.00,2
Carillon 7, Lương Minh Nguyệt,Tân Thới Hòa, Tân Phú,54.00,1.7,2.00,2
 Tô Ký Tower, Tô Ký,Trung Mỹ Tây, Quận 12,75.00,2.3,3.00,1
 Tô Ký Tower, Tô Ký,Trung Mỹ Tây, Quận 12,110.00,12,3.00,2
 The Peak,,Tân Phú, Quận 7,52.00,2,1.00,2
 Q7 Saigon Riverside, Đào Trí,Phú Thuận, Quận 7,54.00,2,2.00,1
The Flemington, Lê Đại Hành,15, Quận 11,69.00,2.5,2.00,2
 Q7 Saigon Riverside, Đào Trí,Phú Thuận, Quận 7,70.00,3,2.00,1
 The Golden Star, Nguyễn Thị Thập,Bình Thuận, Quận 7,135.00,8,3.00,2
 Masteri Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,65.00,4.2,2.00,2
 Masteri Millennium, Bến Vân Đồn,6, Quận 4,72.00,3.65,2.00,2
 Rivera Park Sài Gòn, Thành Thái,14, Quận 10,90.00,1.65,2.00,2
 The Era Town, Nguyễn Lương Bằng,Phú Mỹ, Quận 7,90.00,1.65,2.00,
 The Era Town, Phạm Hữu Lầu,"Phú Mỹ, Quận 7",,72.00,3.4,2.00,3
 Opal Garden,20,Hiệp Bình Chánh, Thủ Đức,69.00,2.8,2.00,2
 Melody Residences 16 Âu Cơ, Âu Cơ,Tân Sơn Nhì, Tân Phú,48.00,3,2.00,2
 ICON 56, Bến Vân Đồn,12, Quận 4,77.00,4.15,2.00,
 Rivera Park Sài Gòn, Thành Thái,14, Quận 10,120.00,5.4,3.00,
 Hùng Vương Plaza, Hồng Bàng,12, Quận 5,94.20,4.48,3.00,2
 Centana Thủ Thiêm, Mai Chí Thọ,An Phú, Quận 2,65.00,2.3,2.00,2
 Căn hộ 8X Plus Trường Chinh,,, Quận 12,90.00,2.6,2.00,2
 Chung cư Phúc Yên, Phan Huy Ích,15, Tân Bình,55.00,1.72,1.00,2
 Flora Anh Đào, Đỗ Xuân Hợp,Phước Long B, Quận 9,50.00,1.6,2.00,1
 Sky 9, Liên Phường,Phú Hữu, Quận 9,63.00,2.5,2.00,1
Đường Lê Hồng Phong, Lê Hồng Phong,1, Quận 10,105.00,5.9,2.00,1
Horizon, Trần Quang Khải,Tân Định, Quận 1,90.00,5.6,2.00,2
 Saigon Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,91.00,2.78,3.00,
 Topaz Elite, Cao Lỗ,4, Quận 8,52.00,1.6,2.00,2
 The Era Town,,Phú Mỹ, Quận 7,91.00,6,2.00,4
 Saigon Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,69.00,2.85,2.00,2
 Sunshine Sky City , Phú Thuận,Tân Phú, Quận 7,53.00,2.4,1.00,2
 Opal Riverside, Số 10,Hiệp Bình Chánh, Thủ Đức,71.00,1.75,2.00,2
 Phố Đông - Hoa Sen, Liên Phường,Phước Long B, Quận 9,115.00,4.5,3.00,1
 Happy Valley, Nguyễn Văn Linh,"Tân Phong, Quận 7",,128.00,6.9,3.00,2
 Riverpark Residence, Nguyễn Đức Cảnh,Tân Phong, Quận 7,78.00,3.6,2.00,2
 Happy Residence,,Tân Phú, Quận 7,120.00,5.4,3.00,2
 Hùng Vương Plaza, Hồng Bàng,12, Quận 5,128.00,6.9,3.00,2
 Riverpark Residence, Nguyễn Đức Cảnh,Tân Phong, Quận 7,78.00,3.6,2.00,2
 Happy Residence,,Tân Phú, Quận 7,89.00,4,2.00,2
 Green Valley, Tôn Dật Tiên,"Tân Phú, Quận 7",,77.00,3.3,2.00,2
 Scenic Valley 1, Tôn Dật Tiên,Tân Phú, Quận 7,264.00,46,3.00,2
 Gateway Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,70.00,1.1,2.00,3
 HQC Plaza, Nguyễn Văn Linh, An Phú Tây, Bình Chánh,54.00,1,2.00,2
 HQC Plaza, Nguyễn Văn Linh, An Phú Tây, Bình Chánh,60.00,2.15,2.00,1
Homyland 2, Nguyễn Duy Trinh,Bình Trưng Tây, Quận 2,136.00,11,3.00,2
 Opal SaiGon Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,86.00,5.99,2.00,
 Opal SaiGon Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,73.80,3.8,2.00,2
 C.T Plaza Minh Châu, Lê Văn Sỹ,14, Quận 3,750.00,27,5.00,2
 Sunrise City, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,76.00,3.7,2.00,4
 Sunrise City, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,161.00,14.5,4.00,2
 Opal SaiGon Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,76.00,3.7,2.00,
 Sunrise City, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,125.00,16,3.00,2
 Sunwah Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,99.00,3.9,3.00,
 Sunrise City, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,99.00,4.7,2.00,2
 Sunrise City, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,76.00,3.2,2.00,2
 Him Lam Riverside, D1,Tân Hưng, Quận 7,74.00,2.2,2.00,2
 City Garden, Ngô Tất Tố,21, Bình Thạnh,76.00,2.269,2.00,2
 4S Riverside Linh Đông,30,Linh Đông, Thủ Đức,300.00,80,2.00,2
 Midtown Phú Mỹ Hưng,,Tân Phú, Quận 7,69.00,2.7,2.00,2
Đường Nguyễn Thị Thập, Nguyễn Thị Thập,Bình Thuận, Quận 7,73.00,2.05,2.00,2
 The Park Residence, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,56.00,2.8,2.00,2
 Sunrise Riverside, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,99.00,3.85,3.00,1
 Sunrise Riverside, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,93.00,3.7,3.00,2
 Sunrise Riverside, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,70.00,2.95,2.00,2
 Sunrise Riverside, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,83.00,3.25,3.00,2
 Sunrise Riverside, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,53.00,1.9,1.00,2
 Moonlight Boulevard, Kinh Dương Vương,An Lạc A, Bình Tân,86.00,2.51,2.00,
 4S Riverside Garden,17,Hiệp Bình Chánh, Thủ Đức,62.00,1.78,2.00,2
 Dream Home Palace, Trịnh Quang Nghị,7, Quận 8,124.00,3.1,3.00,2
 Belleza Apartment, Phạm Hữu Lầu,Phú Mỹ, Quận 7,49.00,1.4,2.00,2
 Green Town Bình Tân, Số 3,Bình Hưng Hòa B, Bình Tân,62.00,1.78,2.00,1
 Dream Home Palace, Trịnh Quang Nghị,7, Quận 8,124.00,3.1,3.00,2
 Belleza Apartment, Phạm Hữu Lầu,Phú Mỹ, Quận 7,49.00,1.4,2.00,2
 Green Town Bình Tân, Số 3,Bình Hưng Hòa B, Bình Tân,101.00,5.8,2.00,1
 The Vista An Phú, Xa Lộ Hà Nội,An Phú, Quận 2,61.75,1.78,2.00,2
 Dream Home Palace, Trịnh Quang Nghị,7, Quận 8,90.00,1.62,2.00,2
 The Morning Star Plaza, Quốc Lộ 13,26, Bình Thạnh,70.00,1.62,2.00,2
 The Era Town, Nguyễn Lương Bằng,Phú Mỹ, Quận 7,69.00,2.55,2.00,2
 Vinhomes Grand Park,,Long Thạnh Mỹ, Quận 9,62.00,1.55,2.00,2
 Dream Home Riverside, Nguyễn Văn Linh,7, Quận 8,64.00,4.1,2.00,2
 Chung cư Mỹ Đức, Xô Viết Nghệ Tĩnh,21, Bình Thạnh,104.50,6.1,3.00,2
 The Sun Avenue, Mai Chí Thọ,An Phú, Quận 2,135.00,19.8,3.00,2
 The Everrich Infinity, An Dương Vương,4, Quận 5,78.00,1.66,2.00,2
 Viva Riverside, Võ Văn Kiệt,3, Quận 6,70.00,5.8,2.00,2
Kingdom 101, Tô Hiến Thành,14, Quận 10,52.00,3.5,1.00,2
 Vinhomes Central Park, Điện Biên Phủ,22, Bình Thạnh,82.00,2.43,2.00,1
 Vinhomes Central Park, Điện Biên Phủ,22, Bình Thạnh,80.00,1.65,2.00,2
 Topaz Elite, Cao Lỗ,"4, Quận 8",,62.00,1.78,2.00,2
 Dream Home Palace, Trịnh Quang Nghị,7, Quận 8,80.00,1.65,2.00,2
 Topaz Elite, Cao Lỗ,"4, Quận 8",,76.00,1.51,2.00,2
 Sunrise City View, Nguyễn Hữu Thọ,"Tân Hưng, Quận 7",,98.00,13,2.00,2
 Sunwah Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,54.80,1.88,1.00,2
Đường Khánh Hội, Khánh Hội,3, Quận 4,70.00,4.6,2.00,1
 Lumiere Boulevard, Nguyễn Xiển,Long Bình, Quận 9,58.00,1.9,3.00,2
 New City Thủ Thiêm, Mai Chí Thọ,"Bình Khánh, Quận 2",,106.00,8.1,3.00,2
 The Everrich Infinity, An Dương Vương,4, Quận 5,33.00,2.7,1.00,2
 Sao Mai,,, Quận 5,100.00,2.4,2.00,2
 New Saigon Hoàng Anh 3, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,135.00,6.7,3.00,2
 Imperia An Phú,,An Phú, Quận 2,69.00,1.73,2.00,2
Đường Dương Thị Giang, Dương Thị Giang,Tân Thới Nhất, Quận 12,56.00,3.55,1.00,2
 The Ascentia, Nguyễn Lương Bằng,Tân Phú, Quận 7,95.00,6,2.00,1
 Thảo Điền Pearl, Quốc Hương,Thảo Điền, Quận 2,80.00,5.55,2.00,2
 The Everrich Infinity, An Dương Vương,4, Quận 5,150.00,12,4.00,
 Saigon Pearl, Nguyễn Hữu Cảnh,22, Bình Thạnh,73.00,2.082,2.00,2
 Avatar Thủ Đức, Số 1,Trường Thọ, Thủ Đức,115.00,5.3,3.00,2
 Tropic Garden,66,Thảo Điền, Quận 2,50.00,2.05,2.00,2
 Charmington La Pointe, Cao Thắng,12, Quận 10,95.00,5.3,2.00,2
 Imperia An Phú,,An Phú, Quận 2,135.00,6,3.00,2
 City Gate Towers, Võ Văn Kiệt,16, Quận 8,163.00,12.8,4.00,2
 The Antonia, Nguyễn Lương Bằng,Tân Phú, Quận 7,63.00,2.12,2.00,4
 8X Plus Trường Chinh, Trường Chinh,Tân Thới Nhất, Quận 12,95.00,4.8,2.00,2
Sunrise City,,Tân Hưng, Quận 7,53.00,2.35,1.00,2
 Chung cư Mỹ Đức, Xô Viết Nghệ Tĩnh,21, Bình Thạnh,95.00,3.6,3.00,1
 Chung cư Mỹ Đức, Xô Viết Nghệ Tĩnh,21, Bình Thạnh,30.00,1.15,2.00,2
 Vinhomes Grand Park quận 9,,Long Bình, Quận 9,270.00,22.6,4.00,3
 Orchard Garden, Hồng Hà,"9, Phú Nhuận",,88.80,4.3,2.00,2
 Celadon City, N1,Sơn Kỳ, Tân Phú,57.00,1.48,2.00,2
 Dream Home Riverside, Nguyễn Văn Linh,7, Quận 8,57.00,1.48,2.00,2
 Dream Home Riverside, Nguyễn Văn Linh,7, Quận 8,112.00,8.4,3.00,2
 Vinhomes Central Park, Điện Biên Phủ,22, Bình Thạnh,76.00,4.35,2.00,2
 Masteri Thảo Điền, Xa Lộ Hà Nội,Thảo Điền, Quận 2,53.00,1.38,1.00,2
 The Era Town,,Phú Mỹ, Quận 7,117.30,5.3,3.00,1
 Celadon City, N1,Sơn Kỳ, Tân Phú,107.50,4.711,3.00,2
 Celadon City, N1,Sơn Kỳ, Tân Phú,160.00,7.999,4.00,2
 Celadon City, N1,Sơn Kỳ, Tân Phú,92.50,4.7,2.00,3
 Celadon City, N1,Sơn Kỳ, Tân Phú,129.00,11.1,3.00,2
 Midtown Phú Mỹ Hưng,,"Tân Phú, Quận 7",,80.00,6.04,2.00,2
 The Golden Star, Nguyễn Thị Thập,Bình Thuận, Quận 7,90.00,3.4,3.00,2
 River Panorama, Hoàng Quốc Việt,Phú Thuận, Quận 7,114.00,4.9,3.00,2
 Sky 89, Hoàng Quốc Việt,Phú Thuận, Quận 7,65.00,2.68,2.00,2
 Sky 89, Hoàng Quốc Việt,Phú Thuận, Quận 7,72.00,3.43,2.00,2
 Sky 89, Hoàng Quốc Việt,Phú Thuận, Quận 7,131.00,10.5,4.00,2
 The Ascentia, Nguyễn Lương Bằng,"Tân Phú, Quận 7",,54.00,2,2.00,
DC13,,"Sơn Kỳ, Quận Tân Phú", T,38.70,1.27,1.00,1
 Avatar Thủ Đức, Số 1,Trường Thọ, Thủ Đức,67.00,2.399,2.00,1
 Safira Khang Điền, Võ Chí Công,Phú Hữu, Quận 9,130.00,9,3.00,2
 Midtown Phú Mỹ Hưng,,Tân Phú, Quận 7,130.00,9,3.00,3
 Midtown Phú Mỹ Hưng,,Tân Phú, Quận 7,91.00,5.8,2.00,3
 Midtown Phú Mỹ Hưng,,"Tân Phú, Quận 7",,91.00,5.45,2.00,2
 Midtown Phú Mỹ Hưng,,Tân Phú, Quận 7,240.00,4.2,5.00,2
 Phú Hoàng Anh, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè,106.00,4.3,3.00,4
 An Khang, Số 19,An Phú, Quận 2,90.00,3.2,2.00,2
 Screc II Tower,,An Phú, Quận 2,62.00,2.15,2.00,2
 An Lộc - An Phúc, Nguyễn Hoàng,An Phú, Quận 2,84.00,3.55,3.00,1
 RichStar, Hòa Bình,Hiệp Tân, Tân Phú,70.00,1.54,3.00,2
 The Harmona, Trương Công Định,14, Tân Bình,76.00,1.58,2.00,2
 Wilton Tower, Nguyễn Văn Thương,25, Bình Thạnh,135.00,6.1,3.00,2
 Imperia An Phú,,An Phú, Quận 2,76.00,1.48,2.00,2
 M-One Gia Định, Nguyễn Bỉnh Khiêm,1, Gò Vấp,70.00,1.56,2.00,2
 Kingdom 101, Tô Hiến Thành,14, Quận 10,70.00,1.55,2.00,2
 Opal Garden,20,Hiệp Bình Chánh, Thủ Đức,80.00,2.55,2.00,2
 Tecco Linh Đông, Linh Đông,Linh Đông, Thủ Đức,46.50,1.799,2.00,2
Đường 1,1,An Khánh, Thủ Đức,89.00,4.2,2.00,3
 Sky 89, Hoàng Quốc Việt,Phú Thuận, Quận 7,106.00,3.6,2.00,2
 An Gia Skyline, Hoàng Quốc Việt,Phú Thuận, Quận 7,124.00,17.5,3.00,2
 The River Thủ Thiêm, Nguyễn Cơ Thạch,An Khánh, Quận 2,124.00,18,3.00,2
 The River Thủ Thiêm, Nguyễn Cơ Thạch,An Khánh, Quận 2,51.00,2.2,2.00,2
 An Gia Riverside, Đào Trí,Phú Thuận, Quận 7,58.00,2.5,2.00,1
 An Gia Skyline, Hoàng Quốc Việt,Phú Thuận, Quận 7,55.00,2.4,2.00,1
 River Panorama, Hoàng Quốc Việt,Phú Thuận, Quận 7,55.80,3.5,1.00,1
 The Ascentia, Nguyễn Lương Bằng,Tân Phú, Quận 7,135.00,6,3.00,1
 Happy Valley, Nguyễn Cao,Tân Phong, Quận 7,98.00,3.8,2.00,2
 The View Riviera Point, Huỳnh Tấn Phát,Tân Phú, Quận 7,118.00,5.4,3.00,2
 Mỹ Đức, Nguyễn Đức Cảnh,Tân Phong, Quận 7,130.00,9.5,3.00,2
Thủ Thiêm Dragon, Quách Giai,Thạnh Mỹ Lợi, Quận 2,140.00,7,3.00,2
 The Infiniti Riviera Point, Huỳnh Tấn Phát,Tân Phú, Quận 7,68.00,2.5,2.00,3
Moonlight Boulevard, Kinh Dương Vương,An Lạc A, Bình Tân,53.00,2.3,2.00,2
 Moonlight Park View, Số 7,An Lạc A, Bình Tân,294.00,75,4.00,1
 The Marq, Nguyễn Đình Chiểu,Đa Kao, Quận 1,96.00,3.4,3.00,5
 Moonlight Boulevard, Kinh Dương Vương,An Lạc A, Bình Tân,63.00,1.85,2.00,2
 Green Town Bình Tân,,Bình Hưng Hòa B, Bình Tân,58.00,1.85,2.00,2
 Sunview Town, Gò Dưa,Hiệp Bình Phước, Thủ Đức,80.00,4.3,2.00,2
Thủ Thiêm Dragon, Quách Giai,Thạnh Mỹ Lợi, Quận 2,45.00,2.95,1.00,2
 Thủ Thiêm Dragon,,Thạnh Mỹ Lợi, Quận 2,124.00,17.5,3.00,1
 The River Thủ Thiêm, Nguyễn Cơ Thạch,An Khánh, Quận 2,45.00,2.95,1.00,2
 Thủ Thiêm Dragon,,Thạnh Mỹ Lợi, Quận 2,302.00,35,3.00,1
 Masteri Millennium, Bến Vân Đồn,6, Quận 4,108.00,9,3.00,3
 Q7 Saigon Riverside, Đào Trí,Phú Thuận, Quận 7,92.00,3.3,2.00,1
 LuxGarden, Nguyễn Văn Quỳ,Phú Thuận, Quận 7,68.00,2.2,2.00,2
 LuxGarden, Nguyễn Văn Quỳ,Phú Thuận, Quận 7,62.00,1.98,2.00,2
 Heaven Riverview,192,16, Quận 8,134.00,18.8,3.00,2
 The River Thủ Thiêm, Nguyễn Cơ Thạch,An Khánh, Quận 2,64.00,6.58,1.00,2
 Empire City Thủ Thiêm, Mai Chí Thọ,Thủ Thiêm, Quận 2,183.00,30.3,4.00,1
 Zeit River Thủ Thiêm ,,Thủ Thiêm, Quận 2,92.00,13,2.00,3
 Empire City Thủ Thiêm, Mai Chí Thọ,Thủ Thiêm, Quận 2,70.00,3.85,2.00,2
 Botanica Premier, Hồng Hà,2, Tân Bình,58.00,2.5,2.00,2
 Saigonres Plaza,,26, Bình Thạnh,74.00,4,2.00,2
 Richmond City,,26, Bình Thạnh,50.00,1.65,2.00,
 Sky 9, Liên Phường,Phú Hữu, Quận 9,55.00,1.88,2.00,1
