Tên chung cư,Đường/Phố,Xã/Phường/Thị Trấn,Quận/Huyện,Diện tích,Mức giá,Số phòng ngủ,Số toilet
 Empire City Thủ Thiêm, Mai Chí Thọ,Thủ Thiêm, Quận 2,38.00,1.05,1.00,1
 Thủ Thiêm Green House, Võ Chí Công,Thạnh Mỹ Lợi, Quận 2,57.60,1.87,2.00,1
 Tecco Green Nest, Phan Văn Hớn,Tân Thới Nhất, Quận 12,66.00,2.75,2.00,
 Carillon 7, Lương Minh Nguyệt,Tân Thới Hòa, Tân Phú,53.00,2.2,1.00,
 Q7 Saigon Riverside, Đào Trí,Phú Thuận, Quận 7,140.00,7,2.00,1
The Infiniti Riviera Point, Huỳnh Tấn Phát,Tân Phú, Quận 7,45.00,1.54,1.00,2
 The Era Town, 15B,Phú Mỹ, Quận 7,260.00,32,3.00,1
 Midtown Phú Mỹ Hưng,,"Tân Phú, Quận 7",,106.00,4.95,2.00,
 Sunrise City,12,Tân Hưng, Quận 7,85.00,2.95,3.00,2
Green River quận 8, Phạm Thế Hiển,6, Quận 8,106.00,3.5,3.00,2
 Oriental Plaza, Âu Cơ,Tân Thành, Tân Phú,138.00,16,3.00,
 The River Thủ Thiêm, Nguyễn Cơ Thạch,"An Khánh, Quận 2",,138.00,16,3.00,2
 The River Thủ Thiêm, Nguyễn Cơ Thạch,"An Khánh, Quận 2",,92.00,4.9,2.00,2
 Vista Verde, Phan Văn Đáng,Thạnh Mỹ Lợi, Quận 2,59.00,1.95,2.00,
 Vinhomes Grand Park quận 9, Nguyễn Xiển,Long Thạnh Mỹ, Quận 9,69.00,2.35,2.00,1
 Vinhomes Grand Park,1,Long Thạnh Mỹ, Quận 9,80.00,3.6,2.00,2
 Akari City Nam Long, Võ Văn Kiệt,An Lạc, Bình Tân,157.00,25.5,4.00,2
 Vinhomes Golden River Ba Son,,, Quận 1,140.00,5.9,3.00,3
 The Vista An Phú, Xa Lộ Hà Nội,An Phú, Quận 2,67.00,2.5,2.00,2
 Safira Khang Điền, Võ Chí Công,Phú Hữu, Quận 9,115.00,4.55,3.00,2
 An Gia Riverside, Đào Trí,Phú Thuận, Quận 7,76.00,3.6,2.00,2
 Him Lam Riverside, D1,Tân Hưng, Quận 7,74.00,2.65,2.00,2
 Diamond Riverside, Võ Văn Kiệt,16, Quận 8,35.00,1.5,1.00,2
 M-One Nam Sài Gòn, Bế Văn Cấm,Tân Kiểng, Quận 7,69.00,1.75,2.00,1
Đường Dương Thị Giang, Dương Thị Giang,Tân Thới Nhất, Quận 12,237.00,22.5,3.00,2
 Diamond Island,,Bình Trưng Tây, Quận 2,135.00,6,2.00,3
 The Vista An Phú, Xa Lộ Hà Nội,An Phú, Quận 2,90.00,2.57,2.00,2
Chung cư Phúc Yên, Phan Huy Ích,15, Tân Bình,68.00,4.3,1.00,2
 City Garden, Ngô Tất Tố,21, Bình Thạnh,73.00,4.95,2.00,1
 Kingdom 101, Tô Hiến Thành,14, Quận 10,80.00,5.6,2.00,2
 Glory Heights - Vinhomes Grand Park, Nguyễn Xiển,Long Bình, Quận 9,136.00,12.5,3.00,2
 City Garden, Ngô Tất Tố,21, Bình Thạnh,138.00,16,3.00,2
 The River Thủ Thiêm, Nguyễn Cơ Thạch,"An Khánh, Quận 2",,138.00,16,3.00,2
 The River Thủ Thiêm, Nguyễn Cơ Thạch,"An Khánh, Quận 2",,70.00,2.5,2.00,2
 Melody Residences 16 Âu Cơ, Âu Cơ,Tân Sơn Nhì, Tân Phú,65.40,2.616,2.00,2
 MT Eastmark City, Trường Lưu,Long Trường, Quận 9,89.00,3.77,2.00,2
 Sky 89, Hoàng Quốc Việt,Phú Thuận, Quận 7,106.00,4.5,2.00,2
 Sunrise City, Nguyễn Hữu Thọ,Tân Hưng, Quận 7,162.50,7.8,3.00,2
 The Horizon Phú Mỹ Hưng, Trần Văn Trà,Tân Phú, Quận 7,82.00,3.2,2.00,2
 Him Lam Riverside, D1,Tân Hưng, Quận 7,74.30,4.004,2.00,2
 Lumiere Boulevard, Nguyễn Xiển,Long Bình, Quận 9,65.40,2.5,1.00,
